Bank_Name,Cust_Name,Account_No,Loan_Type,Due_Amount,Due_Date,Priority,Recovered_by_Agent,Recovered_by_AI,Recovered_by_Field_Agent,Recovered_Date,Recovered_Amount,Remaining_Due_Amount
SBI,Christopher Smith,XXXX5495,Car,232864.44,28-10-2024,Medium,1,,,10-05-2024,158196.01,7977.22
Kotak Mahindra,Travis Alvarez,XXXX8609,Car,133704.1,03-04-2024,High,,1,,02-05-2024,,0
Kotak Mahindra,Kimberly Suarez,XXXX2903,Car,144328.46,13-12-2023,High,,1,,02-06-2023,,0
SBI,Lori Bailey,XXXX3277,House,427613.31,31-12-2024,High,,1,,24-12-2024,339753.35,21382.84
SBI,Carol Gutierrez,XXXX7710,Car,436967.3,22-07-2024,Medium,1,,,20-03-2024,,0
Axis Bank,Hunter Jackson,XXXX1783,House,135428.18,22-09-2023,Low,,,1,13-02-2023,353057.68,2031.44
ICICI Bank,Ariana Taylor,XXXX5018,Car,242419.53,25-07-2025,Low,,1,,30-01-2025,108672.16,8964.52
ICICI Bank,Lisa Smith,XXXX2620,House,191972.3,09-05-2024,Low,1,,,01-03-2024,,0
ICICI Bank,Frances Boyd,XXXX5762,House,216004.95,13-06-2025,Low,1,,,27-04-2025,380515.02,28385.08
Axis Bank,Melissa Baldwin,XXXX4660,Car,178295.1,20-10-2023,High,,1,,13-07-2023,50981.2,4529.28
Kotak Mahindra,Brian Moore,XXXX8988,House,102354.11,29-03-2024,Low,1,,,02-01-2024,103880.24,7115.5
Axis Bank,Andrew Ponce,XXXX6636,Car,365462.04,01-11-2024,Medium,1,,,15-10-2024,422509.1,21855.36
SBI,Anne Wheeler,XXXX9774,Car,140222.76,30-06-2024,Low,1,,,28-06-2024,,0
HDFC Bank,Carolyn Stewart,XXXX9883,House,121963.32,25-09-2024,Low,,1,,10-03-2024,426811.01,37764.86
Axis Bank,Susan Rodriguez,XXXX1436,Car,55959.27,17-05-2025,High,,1,,08-03-2025,387232.05,7400.3
SBI,Bianca Shelton,XXXX6418,Car,63031.09,02-09-2024,High,,1,,20-06-2024,325001.39,10092.9
ICICI Bank,Debra James,XXXX8587,House,435069.15,19-07-2025,Low,1,,,14-09-2025,388475.26,11498.78
Kotak Mahindra,Nicholas Simmons,XXXX7086,Car,179692.48,23-08-2024,High,,,1,04-06-2024,198692.22,937.11
ICICI Bank,Lee Marshall,XXXX2208,House,113942.76,04-12-2024,High,1,,,03-05-2024,381552.59,25274.13
SBI,Jonathan Craig,XXXX5108,Car,184056.24,28-02-2024,Low,1,,,26-08-2024,432937.41,27237.33
ICICI Bank,Rodney Alvarado,XXXX9370,House,388619.85,08-11-2023,Low,,1,,10-09-2023,,0
ICICI Bank,Brian Hess,XXXX4610,Car,413722.39,02-10-2024,Low,,1,,15-04-2024,,0
Axis Bank,Jacqueline Marquez,XXXX3112,House,376185.19,24-03-2024,Low,1,,,17-12-2024,248437.2,8009.96
ICICI Bank,Alyssa Richardson,XXXX3325,Car,320672,07-01-2024,High,,1,,08-01-2024,,0
ICICI Bank,Richard Manning,XXXX4852,Car,110913.45,06-10-2023,High,,1,,17-09-2023,249337.37,7437.85
SBI,Joseph Deleon,XXXX4513,House,417369.33,17-11-2024,High,1,,,05-08-2024,166512.98,6536.51
HDFC Bank,Michael Hunt,XXXX9328,House,366715.41,08-09-2024,Low,1,,,25-05-2024,52205.71,1691.9
ICICI Bank,Rickey Morrison,XXXX8759,Car,67901.18,02-11-2024,Low,1,,,19-06-2024,128628.7,7107.85
SBI,Richard Stanley,XXXX6166,House,487379.63,25-01-2025,Medium,,1,,05-03-2025,,0
ICICI Bank,Christopher Velasquez,XXXX2964,House,140337.53,28-12-2024,Low,1,,,24-05-2024,61219.4,2892.86
Axis Bank,Tracey Mccall,XXXX4817,Car,463160.17,10-12-2023,Low,1,,,16-08-2023,,0
SBI,Elizabeth Jones,XXXX1642,House,115340.26,14-03-2025,Medium,,1,,24-10-2025,324646.58,22087.62
ICICI Bank,Michael Martinez,XXXX1029,House,484633.32,09-07-2024,Low,1,,,20-05-2024,299541.01,9532.74
SBI,Kyle Singh,XXXX2693,Car,165669.09,12-12-2024,Medium,1,,,03-11-2024,,0
Axis Bank,Steven Alvarado,XXXX5526,Car,65439.35,17-08-2023,Medium,1,,,09-03-2023,462256.86,18165.12
HDFC Bank,Bobby Abbott,XXXX2335,House,436336.01,21-03-2025,High,,1,,01-06-2025,333649.51,4900.73
SBI,Gregory Gould,XXXX3471,House,139409.16,02-11-2023,High,1,,,09-11-2023,186123.11,13728
ICICI Bank,Sarah Davis,XXXX1423,Car,139086.61,24-05-2024,High,,1,,08-12-2024,,0
Kotak Mahindra,Jason Woods,XXXX9312,House,321934.29,09-07-2024,High,,,1,26-06-2024,,0
Axis Bank,Jerry Silva,XXXX9414,House,402192.91,01-10-2023,Medium,,1,,21-07-2023,,0
SBI,Joel Cherry,XXXX5849,House,211689.64,26-11-2023,High,1,,,24-04-2023,483290.01,16584.05
ICICI Bank,Karen Fitzgerald,XXXX2802,Car,223622.21,03-11-2024,High,,1,,10-08-2024,,0
ICICI Bank,Debra Moyer,XXXX5087,Car,188651.79,16-12-2024,Medium,1,,,14-11-2024,387927.4,860.67
SBI,Ian Miller,XXXX7830,Car,64300.13,07-02-2025,Low,,,1,16-01-2025,359567.04,7750.7
ICICI Bank,Jason Colon,XXXX3713,House,162888.46,25-12-2023,High,,1,,22-07-2023,275012.01,18727.5
ICICI Bank,David Parks,XXXX6303,House,138231.97,26-03-2024,High,,,1,06-10-2024,188347.37,13919.89
Kotak Mahindra,Philip Burton,XXXX7726,House,311796.85,22-08-2023,Medium,,,1,20-08-2023,,0
Axis Bank,Cynthia Henderson,XXXX4915,Car,164639.61,06-05-2025,Medium,1,,,11-02-2025,264690.38,28428.16
ICICI Bank,Anna Whitaker,XXXX7858,Car,193875.12,02-01-2025,Medium,1,,,05-02-2025,,0
SBI,Amy Figueroa,XXXX1016,House,175867.44,30-04-2024,High,1,,,09-12-2024,193598.85,12669.58
Kotak Mahindra,Patrick Hanson,XXXX4644,House,190936.1,27-04-2024,Low,1,,,08-03-2024,349082.61,26953.17
Axis Bank,Catherine Newton,XXXX7812,Car,79398.35,06-05-2025,Low,,1,,05-11-2025,292566.3,26621.62
SBI,Jackie Ruiz,XXXX9662,House,266583.96,10-05-2024,Low,1,,,29-01-2024,131710.81,9585.7
Axis Bank,Julie Gould,XXXX8585,House,145620.67,05-05-2024,Low,1,,,06-12-2024,258922.51,1235.03
HDFC Bank,Kenneth Clark,XXXX1656,Car,325326.81,01-03-2025,High,,1,,07-01-2025,374513.67,12722.55
Axis Bank,Cody Blevins,XXXX3160,House,352518.83,31-07-2024,Low,,1,,29-03-2024,,0
Axis Bank,John Jones,XXXX3475,House,493336.29,15-12-2024,High,,1,,03-05-2024,174288.57,2487.96
ICICI Bank,James Rose,XXXX4480,House,154459.67,20-01-2025,Medium,,1,,15-02-2025,370123.36,32321.93
HDFC Bank,Cynthia Williams,XXXX3813,Car,117471.47,25-06-2025,Low,,1,,01-11-2025,433436.33,30908.06
SBI,Thomas Sharp,XXXX3430,House,441046.22,27-06-2024,Medium,1,,,18-02-2024,425549.03,4874.41
Axis Bank,Samuel Crawford,XXXX6711,House,96688.8,15-12-2024,Medium,1,,,07-02-2024,,0
Axis Bank,Sharon Johnson,XXXX9334,House,343022.32,15-01-2024,High,,,1,22-07-2024,,0
Axis Bank,Erika Baker,XXXX3075,House,397674.75,22-12-2024,Medium,1,,,21-10-2024,170870.79,11189.8
SBI,Carla Morgan,XXXX8628,Car,333271.48,07-04-2025,High,,,1,01-08-2025,221713.93,19339.19
ICICI Bank,Olivia Mccoy,XXXX7925,Car,455733.32,14-06-2025,Low,,1,,08-01-2025,,0
HDFC Bank,Melissa Baldwin,XXXX2768,House,94517.34,25-06-2024,High,1,,,09-01-2024,356166.94,2981.09
HDFC Bank,Terri Burns,XXXX7136,House,94358.57,01-12-2023,Low,,1,,21-03-2023,236806.55,5389.51
HDFC Bank,Daniel Wright,XXXX1374,Car,412955.11,13-10-2023,Medium,,1,,21-06-2023,378122.89,20700.8
SBI,Edward Cook,XXXX9973,Car,73863.37,14-07-2024,Medium,,1,,08-10-2024,,0
Kotak Mahindra,Tiffany Thomas,XXXX4621,Car,380862.74,23-12-2023,High,,1,,01-11-2023,,0
HDFC Bank,Louis Hall,XXXX4205,House,239276.03,23-10-2024,Medium,1,,,29-01-2024,241997.28,23247.21
HDFC Bank,Christina Scott,XXXX4784,House,116905.41,01-10-2024,Medium,1,,,20-02-2024,429900.44,1588.59
SBI,Melissa Morales,XXXX5355,Car,355515.41,06-08-2025,High,1,,,03-01-2025,,0
Kotak Mahindra,Dawn Phillips,XXXX8522,Car,240563.94,28-06-2025,Low,,,1,14-11-2025,105740.48,10005.79
SBI,Paul Johnson,XXXX9240,House,145867.71,08-07-2024,Medium,1,,,07-01-2024,,0
SBI,Austin Jenkins,XXXX2533,Car,200904.28,27-01-2025,High,,1,,19-08-2025,174400.31,7425.46
HDFC Bank,Patricia Ruiz,XXXX9979,Car,162716.3,28-12-2023,High,1,,,08-11-2023,69644.5,3167.85
HDFC Bank,David Ayala,XXXX4104,Car,324351.72,23-06-2024,Medium,,1,,11-01-2024,143488.48,49.91
HDFC Bank,David Lane,XXXX3092,Car,484818.51,16-12-2024,High,1,,,04-11-2024,269742.46,6153.17
HDFC Bank,Kurt Parker,XXXX7973,House,465193.98,03-09-2024,Low,1,,,13-08-2024,175307.61,15033.45
SBI,Chad Edwards,XXXX2098,Car,80264.7,13-08-2023,Medium,,1,,05-06-2023,,0
Kotak Mahindra,James Boyle,XXXX9017,House,410663.13,13-07-2025,High,1,,,30-08-2025,287340.06,29387.76
Kotak Mahindra,Michelle Buckley,XXXX6529,House,356904.4,13-07-2024,Low,1,,,26-04-2024,299846,29534.73
Axis Bank,William Lewis,XXXX5377,House,227621.58,31-08-2024,Low,1,,,09-05-2024,306075.3,4218.44
Kotak Mahindra,Lawrence Kim,XXXX9364,Car,480802.77,08-07-2025,Medium,,1,,14-02-2025,,0
HDFC Bank,Samuel Reese,XXXX6142,House,341769.77,09-04-2025,Medium,1,,,04-05-2025,282132.02,31152.35
SBI,Meagan Vargas,XXXX1654,Car,483016.98,20-02-2024,Low,1,,,05-10-2024,201337.54,13106.68
Axis Bank,Samantha Reyes,XXXX4904,Car,230828.74,24-04-2025,High,,1,,22-04-2025,355609.19,11007.74
SBI,David Banks,XXXX4900,Car,128248.78,16-03-2024,Low,,1,,09-10-2024,120221.53,4819.89
HDFC Bank,Mike Williams,XXXX1063,House,294088.96,27-06-2025,Medium,1,,,22-08-2025,135102.9,10813.55
SBI,Daisy Mathis,XXXX7009,Car,246130.22,21-02-2025,Medium,1,,,03-03-2025,203018.95,806.75
HDFC Bank,Robert Smith,XXXX5996,House,499025.37,14-09-2023,Medium,,1,,21-02-2023,173690.82,15760.63
HDFC Bank,Timothy Vaughn,XXXX5832,Car,489528.43,28-05-2025,High,,1,,23-01-2025,197846.07,18396.24
Kotak Mahindra,Danielle Watson,XXXX7038,Car,252144.58,04-02-2024,Medium,,1,,06-01-2024,306637.09,19520.02
Kotak Mahindra,Michelle Ayala,XXXX7046,Car,436825.17,19-02-2024,Low,1,,,08-07-2024,267294.02,16589.1
HDFC Bank,Jonathan Thomas,XXXX9544,Car,81736.12,07-05-2025,Low,,1,,22-07-2025,236253.36,5329.82
Kotak Mahindra,Laurie Cantrell,XXXX6814,Car,375869.81,05-05-2024,High,,1,,24-12-2024,307938.03,570.36
HDFC Bank,Dakota Jones,XXXX3972,House,131332.54,16-10-2023,High,,,1,21-10-2023,297300.98,7677.26
HDFC Bank,April Robertson,XXXX2169,House,193707.16,09-12-2023,Medium,,1,,10-10-2023,261594.65,10559.6
Axis Bank,Terrance Ward,XXXX8664,House,466322.72,24-02-2024,High,,1,,18-07-2024,434769.4,32948.59
Axis Bank,Justin Martinez,XXXX6302,Car,243663.56,15-10-2024,Low,,1,,15-02-2024,,0
Axis Bank,Nathan Gallagher,XXXX7201,House,482208.34,11-11-2023,Medium,1,,,12-10-2023,434306.96,15338.17
SBI,John Logan,XXXX1325,Car,69355.84,05-12-2023,Low,1,,,14-10-2023,365313.76,38481.41
Kotak Mahindra,Kelly Wallace,XXXX9892,House,73885.24,24-12-2024,High,,1,,27-10-2024,460453.42,9524.53
HDFC Bank,Christopher Smith,XXXX3952,Car,224436.06,08-02-2024,High,,1,,09-03-2024,236098.92,12994.69
ICICI Bank,Anthony Townsend,XXXX8811,House,90955.59,14-08-2024,Medium,,1,,11-04-2024,261237.55,19808.9
Axis Bank,Adam Thomas,XXXX9756,Car,229301.07,04-05-2024,High,,1,,09-01-2024,,0
SBI,Hannah Hernandez,XXXX8261,Car,384392.72,22-02-2025,Medium,,1,,20-08-2025,171794.86,12204.26
HDFC Bank,Christopher English,XXXX5157,House,168919.16,16-03-2024,Medium,1,,,08-08-2024,214299.29,1263.25
SBI,Mr. Mark Romero,XXXX6028,Car,234565.65,31-01-2025,Low,1,,,24-10-2025,112699.93,11926.86
Axis Bank,Jason Peters,XXXX6762,Car,446124.43,16-10-2024,Low,1,,,22-03-2024,173342.08,11069.07
ICICI Bank,Nicole Malone,XXXX8246,House,227903.5,17-06-2025,Low,1,,,02-08-2025,,0
SBI,Alexandra Ward,XXXX8135,House,218425.26,16-03-2024,Low,1,,,17-11-2024,388534.11,13617.08
SBI,Cynthia Hamilton,XXXX9876,Car,399784.77,12-03-2024,High,,1,,31-05-2024,168912.35,8633.68
Kotak Mahindra,Denise David,XXXX7698,Car,348734.77,20-09-2024,High,,1,,21-06-2024,239513.6,16731.64
Axis Bank,Edward Brown,XXXX5276,House,175937.68,14-05-2025,Medium,,,1,30-04-2025,297577.11,26180.91
Axis Bank,Luis Brown,XXXX8225,Car,230314.55,31-07-2024,Medium,,1,,16-05-2024,444308.9,24080.36
HDFC Bank,Nicholas Floyd,XXXX1489,Car,304567.02,19-08-2023,High,,,1,17-12-2023,113743.77,8296.43
HDFC Bank,Kristin Howard,XXXX6944,Car,188246.19,24-02-2024,Medium,1,,,31-08-2024,119892.45,7225.45
Kotak Mahindra,Emma Ruiz,XXXX9722,House,198849.32,09-09-2024,Medium,1,,,08-05-2024,287075.24,6783.71
HDFC Bank,Scott Mcknight PhD,XXXX4481,House,136608.65,13-09-2024,Low,,1,,28-04-2024,,0
HDFC Bank,Richard Hahn,XXXX1747,Car,117108.68,12-02-2025,Medium,,1,,06-03-2025,293556.05,14236.36
ICICI Bank,Sylvia Brown,XXXX7673,House,428733.24,19-02-2024,Low,1,,,04-10-2024,94974.61,328.04
ICICI Bank,Lori Valdez,XXXX1257,Car,90505.16,11-11-2023,Low,1,,,10-05-2023,,0
Axis Bank,James Austin,XXXX3164,Car,139633.81,20-09-2024,Low,,,1,31-07-2024,216364.13,1576.29
ICICI Bank,Donald Gomez,XXXX1810,House,445467.19,09-11-2024,Medium,1,,,27-08-2024,170446.78,10075.56
ICICI Bank,Michael Hayes,XXXX5881,Car,376804.14,01-03-2025,High,1,,,17-09-2025,198206.56,8135.81
Axis Bank,Mark Lucas,XXXX8356,Car,372128.4,06-02-2025,Medium,1,,,04-10-2025,257360.51,3794.48
ICICI Bank,John Price,XXXX9568,Car,102038.63,27-06-2025,Medium,1,,,22-04-2025,184685.17,14802.9
Axis Bank,Catherine Mendoza,XXXX2692,Car,322815.31,31-03-2024,Low,,1,,08-02-2024,55017.9,4914.04
Axis Bank,Stephanie Mason,XXXX8691,House,103854.46,07-06-2024,Low,1,,,28-04-2024,68388.39,1475.75
Kotak Mahindra,Timothy Morgan MD,XXXX8865,Car,274786.48,12-10-2023,Low,1,,,06-01-2023,,0
ICICI Bank,Jerry Hampton,XXXX8723,House,322540.79,06-11-2024,Medium,1,,,02-07-2024,,0
Kotak Mahindra,Steven Barrera,XXXX1960,Car,248189.53,16-09-2023,Medium,1,,,28-12-2023,220906.3,11385.43
ICICI Bank,Ashley Gaines,XXXX5496,Car,213318.02,01-08-2024,High,1,,,02-03-2024,205663.44,8051.48
Axis Bank,Shelby Wagner,XXXX8761,Car,431864.96,09-05-2024,Medium,,1,,16-04-2024,274783.59,5982.25
SBI,Brian Montoya,XXXX1364,House,233429.63,16-06-2025,High,1,,,24-04-2025,211203.13,12946.28
ICICI Bank,Chelsea Davis,XXXX7617,Car,338793.94,14-09-2024,Low,1,,,03-01-2024,,0
Axis Bank,Angela Delgado,XXXX2503,House,298828.45,30-03-2025,Low,1,,,14-11-2025,104382.8,4696.02
Axis Bank,Roy Miller,XXXX6870,House,423388.86,11-07-2024,Medium,,1,,13-12-2024,345794.02,14363.81
HDFC Bank,Jennifer Davis,XXXX7476,House,167302.82,01-01-2024,High,,1,,26-06-2024,71502.08,1281.87
ICICI Bank,Anthony Williams,XXXX5729,House,278335.86,12-08-2023,Low,1,,,12-12-2023,328494.22,15719.87
SBI,Justin Hughes,XXXX1421,House,319061.57,16-07-2024,Low,1,,,20-07-2024,,0
HDFC Bank,Abigail Bernard,XXXX5821,Car,249868.63,05-08-2024,Medium,,1,,02-03-2024,,0
Axis Bank,Nicholas Gonzalez,XXXX4332,Car,74165.1,01-12-2023,Low,1,,,06-03-2023,,0
SBI,Stephen Miller,XXXX3261,Car,492388.72,01-03-2025,High,1,,,29-06-2025,442015.77,6051.85
ICICI Bank,Jesse Duke,XXXX5257,Car,82709.08,12-05-2024,Medium,1,,,02-11-2024,185197.25,1597.75
ICICI Bank,Kendra Jennings,XXXX6647,House,172398.9,15-10-2023,Medium,,1,,26-05-2023,306540.01,27933.62
HDFC Bank,John Douglas,XXXX3544,Car,457955.23,28-12-2024,Low,,1,,30-09-2024,225311.48,5508.23
Kotak Mahindra,Eric Howard,XXXX5890,House,463661.49,31-12-2023,Low,1,,,31-03-2023,223405.31,9570.36
Kotak Mahindra,Brian Campbell,XXXX9354,House,494786.1,12-01-2024,Low,,1,,19-09-2024,,0
SBI,Sherry Rogers,XXXX4735,House,313125.44,24-03-2024,Medium,,1,,26-11-2024,232224.55,12350.54
SBI,Emily Baker,XXXX2232,House,99236.92,07-02-2024,High,,1,,12-02-2024,227100.09,5644.45
Axis Bank,Jenna Osborne,XXXX4888,House,98766.07,10-02-2024,High,1,,,26-04-2024,,0
Axis Bank,Jonathan Reyes,XXXX9870,Car,211294.08,26-03-2025,Medium,1,,,07-01-2025,,0
Axis Bank,Ann Harris,XXXX2599,Car,137242.56,10-09-2023,Low,,1,,02-10-2023,,0
HDFC Bank,Maurice Serrano,XXXX2565,House,94112.31,08-12-2023,Medium,1,,,21-07-2023,,0
ICICI Bank,Amber Allen,XXXX3302,House,137865.81,18-07-2024,Low,1,,,20-12-2024,209998.63,8130.84
ICICI Bank,Karen Ramirez,XXXX5623,Car,283255.93,24-08-2023,Medium,1,,,26-11-2023,295168.47,32491.87
HDFC Bank,Chris Gray,XXXX7515,House,238402.96,18-03-2025,Medium,,,1,23-10-2025,476384.2,5814.01
Kotak Mahindra,Bryan Williams,XXXX7040,Car,200137.41,24-03-2024,Low,1,,,14-06-2024,131646.46,3376.86
Kotak Mahindra,Daniel Patel,XXXX4870,House,410796.08,20-04-2025,Medium,1,,,25-12-2025,75193.46,3980.95
SBI,Marissa Brown,XXXX6069,Car,277438.68,10-07-2024,High,1,,,10-12-2024,,0
SBI,Brian Fernandez,XXXX3728,Car,261025.55,22-01-2024,Low,1,,,06-01-2024,,0
Axis Bank,Nathaniel Bridges,XXXX6391,House,98482.52,16-02-2024,High,,1,,06-10-2024,107973.07,1188.68
HDFC Bank,Erin Griffin,XXXX1131,House,248954.6,28-04-2025,High,1,,,18-04-2025,317249.91,11027.8
SBI,Dennis Brown MD,XXXX4078,House,119447.49,10-05-2025,High,,,1,10-05-2025,470755.28,27001.42
ICICI Bank,Alexandra Sherman,XXXX1468,Car,474705,23-01-2024,Medium,1,,,29-03-2024,171705.53,8662.98
Kotak Mahindra,Kenneth Reyes,XXXX3578,Car,422319.39,05-10-2024,Medium,,1,,12-05-2024,,0
Kotak Mahindra,Tiffany Garcia,XXXX5149,House,86624.83,19-12-2023,Low,1,,,02-05-2023,,0
SBI,Shari Reyes,XXXX9252,Car,79162.59,23-08-2024,Low,1,,,29-06-2024,174080.32,16456.93
HDFC Bank,Kayla Nunez,XXXX1907,Car,185979.11,22-12-2023,High,,1,,28-07-2023,95627.74,10156.54
Kotak Mahindra,Michael Jensen,XXXX9900,House,279517.79,21-03-2024,Low,1,,,14-11-2024,46929.14,5007.87
Axis Bank,Martin Hudson,XXXX9190,Car,209924.04,22-12-2023,Low,,1,,04-06-2023,272749.58,16044.74
SBI,Sheila Burke,XXXX1622,Car,131644.29,15-06-2024,Low,,1,,26-05-2024,403638.05,44077.44
SBI,Trevor Smith,XXXX5096,House,77162.22,05-10-2024,High,1,,,20-07-2024,458308.52,23618.19
HDFC Bank,Cody Haley,XXXX2039,House,491582.14,06-09-2023,Low,1,,,02-06-2023,348918.14,24790.92
Axis Bank,Veronica Arias,XXXX5630,Car,406782.6,05-07-2025,Medium,,,1,02-01-2025,,0
ICICI Bank,Brianna Mendoza,XXXX1899,Car,85781.07,11-02-2025,High,1,,,15-09-2025,168704.34,648.15
SBI,Richard Mckenzie,XXXX1944,House,494115.83,15-05-2025,High,1,,,05-10-2025,383409.37,18883.72
Kotak Mahindra,Richard Patrick,XXXX9180,Car,161642.08,27-11-2024,Medium,1,,,04-03-2024,,0
Axis Bank,Nicole Erickson,XXXX5098,Car,224691.68,11-12-2023,Low,,1,,26-04-2023,421794.12,44812.82
Kotak Mahindra,Linda Boyd,XXXX1516,House,496421.61,02-08-2025,Medium,1,,,02-11-2025,152763.89,11671.79
ICICI Bank,Miss Jordan Perez MD,XXXX8218,House,391193.07,23-05-2025,Medium,1,,,02-12-2025,121091.35,1345.2
Kotak Mahindra,Lori Gould,XXXX9914,House,458740.83,11-06-2024,Medium,,1,,08-08-2024,360572.12,20208.23
Axis Bank,Stephanie Chase,XXXX6746,Car,303431.87,27-05-2025,Low,1,,,27-02-2025,467454.98,24505.1
ICICI Bank,Anna Palmer,XXXX6746,House,187882.13,14-08-2023,Medium,1,,,23-02-2023,150132.58,6312.3
SBI,Kevin Dunn,XXXX2769,Car,171156.35,19-05-2024,Medium,1,,,27-02-2024,,0
SBI,Lisa Lewis,XXXX9265,Car,227550.25,25-08-2023,Medium,,1,,02-12-2023,199129.74,5670.54
ICICI Bank,Carla Hawkins,XXXX8122,Car,239857.47,01-12-2023,Low,,1,,08-03-2023,320220.52,5267.9
HDFC Bank,Olivia Moore,XXXX8213,House,66440.76,28-11-2023,Medium,,1,,14-08-2023,281292.91,17468.08
Axis Bank,Debra Williams,XXXX6902,House,337822.91,29-01-2024,High,1,,,07-02-2024,325397.31,19294.92
HDFC Bank,Fred Richardson,XXXX8537,Car,122875.63,29-08-2023,High,1,,,06-07-2023,408021.24,39716.34
HDFC Bank,Garrett Hood,XXXX8915,Car,101926.24,11-01-2025,High,1,,,10-06-2025,,0
Kotak Mahindra,Alan Sawyer,XXXX1702,House,487655.13,16-09-2023,Low,,1,,17-08-2023,229498.79,20828.57
SBI,John Jones,XXXX2740,House,290315.55,18-11-2024,Low,1,,,15-04-2024,379284.93,2204.97
ICICI Bank,Whitney Hardy,XXXX9374,House,176146.36,02-06-2025,Low,1,,,25-09-2025,61176.13,4427.33
SBI,Jason Glenn,XXXX8273,House,361207.08,25-04-2025,Medium,,,1,24-10-2025,,0
SBI,Christine Burke,XXXX3403,Car,164416.84,28-07-2025,Medium,,1,,22-12-2025,245530.7,16048.05
Axis Bank,Brendan Villegas,XXXX4716,House,188713.75,16-02-2024,Low,1,,,04-04-2024,359459.42,1503.5
ICICI Bank,Tracy Wilkerson,XXXX2199,House,408559.28,16-05-2025,High,,1,,24-02-2025,358387.37,6600.11
ICICI Bank,Carlos Henderson,XXXX8419,Car,226186.66,03-01-2025,Low,,1,,04-02-2025,187203.22,8305.4
ICICI Bank,Michael Oneill,XXXX3157,House,79783.69,29-08-2024,Medium,,1,,23-11-2024,,0
Axis Bank,Nicholas Marshall,XXXX5874,House,482639.14,25-04-2025,Low,,1,,07-03-2025,,0
SBI,Daniel Price DDS,XXXX4608,Car,495413.76,10-06-2024,Low,,1,,03-05-2024,,0
HDFC Bank,Connie Black,XXXX9690,Car,406948.31,22-12-2024,High,1,,,04-11-2024,361871.02,27271.68
SBI,Joe Bruce,XXXX6796,Car,94926.18,27-06-2025,Low,,1,,16-01-2025,207387.61,18779.87
HDFC Bank,Chelsea Guzman,XXXX6958,House,172512.66,16-05-2025,Medium,1,,,24-03-2025,,0
Axis Bank,Paul Campbell,XXXX5638,Car,346898.7,05-11-2024,Medium,1,,,24-12-2024,419541.09,27491.47
HDFC Bank,Debbie Bennett,XXXX1381,Car,346252.37,28-09-2023,Low,1,,,06-01-2023,295962.04,2179.96
HDFC Bank,Matthew Spencer Jr.,XXXX9046,Car,340452.5,18-12-2023,Medium,,1,,28-12-2023,,0
Kotak Mahindra,Morgan Manning,XXXX1757,Car,80361.16,12-09-2024,Low,,1,,08-04-2024,,0
HDFC Bank,Bryan Pearson,XXXX1794,Car,417941.19,20-04-2025,Medium,1,,,26-05-2025,299792.69,22909.7
SBI,Luis Perez,XXXX4575,House,379633.67,11-12-2024,High,,1,,23-07-2024,,0
SBI,Jennifer Garcia,XXXX7477,House,107497.84,20-05-2024,Low,1,,,20-10-2024,299035.95,20864.88
SBI,Nicholas Velazquez,XXXX7786,Car,311574.41,26-03-2024,High,1,,,12-03-2024,462110.07,33142.42
Kotak Mahindra,Becky Moore,XXXX6778,Car,303458.13,27-05-2025,High,1,,,12-07-2025,134530.07,10378.2
Kotak Mahindra,Kristin Griffith,XXXX6659,House,392083.2,26-08-2024,Low,,1,,08-03-2024,104819.87,10797.73
Axis Bank,Mary Irwin,XXXX8667,House,246159.47,12-09-2023,Medium,,1,,28-02-2023,377750.33,20222.3
ICICI Bank,Nathaniel Rios,XXXX3640,House,173618.66,31-01-2024,Low,,1,,16-06-2024,,0
ICICI Bank,David Jackson,XXXX5896,House,403043.6,10-04-2025,Low,1,,,19-12-2025,414796.51,7620.23
HDFC Bank,Adam Randall,XXXX9684,Car,382338.51,21-02-2024,Medium,1,,,02-08-2024,104510.07,10216.52
ICICI Bank,Tracy Pearson,XXXX9179,House,474234.72,30-01-2025,Medium,,1,,28-06-2025,383289.87,3485.8
HDFC Bank,Ian Clark,XXXX4764,House,286170.9,14-08-2024,Low,1,,,15-09-2024,64566.58,3905.25
Kotak Mahindra,Ryan Barker,XXXX3316,Car,481207.21,01-11-2023,High,1,,,11-05-2023,381174.99,40529.58
SBI,Jose Christensen,XXXX6176,Car,127927.39,16-11-2023,High,,1,,08-02-2023,435875.08,23302.1
Kotak Mahindra,Michael Flores,XXXX2712,Car,337784.92,07-08-2024,Low,,1,,07-01-2024,,0
Kotak Mahindra,Eric Miller,XXXX6710,House,289497.22,29-04-2024,Medium,1,,,29-07-2024,,0
ICICI Bank,Alexis Smith,XXXX3272,House,315859.64,03-10-2024,High,1,,,29-07-2024,,0
ICICI Bank,Ashley Steele,XXXX6786,Car,421222.65,01-04-2024,Low,1,,,23-01-2024,145289.02,1321.04
SBI,Terry Ortiz,XXXX9889,Car,333924.67,13-01-2024,Low,1,,,28-06-2024,144298.66,6479.86
Axis Bank,Holly Stewart,XXXX9571,Car,473279.32,15-03-2025,Medium,1,,,21-06-2025,,0
ICICI Bank,Cameron Perez,XXXX3911,Car,281221.4,07-06-2025,Low,1,,,13-09-2025,414005.57,17896.71
SBI,Sarah Anderson,XXXX4610,House,80628.3,05-03-2025,Low,1,,,05-08-2025,142041.31,8424.93
